ANNO,MESE,TIPO_SOGGETTO,TIPOLOGIA,TOTALE
2023,12,Residenti,STESSA REGIONE,95578
2023,12,Residenti,STESSO COMUNE,131861
2024,1,AIRE,ESPATRI,10565
2024,1,AIRE,ESTERO CON ESTERO,25072
2024,1,AIRE,RIENTRI AIRE,1718
2024,1,Residenti,DIVERSA REGIONE,42031
2024,1,Residenti,ESPATRI,922
2024,1,Residenti,RIENTRI AIRE,7501
2024,1,Residenti,STESSA REGIONE,131916
2024,1,Residenti,STESSO COMUNE,191614
2024,2,AIRE,ESPATRI,14690
2024,2,AIRE,ESTERO CON ESTERO,29904
2024,2,AIRE,RIENTRI AIRE,1478
2024,2,Residenti,DIVERSA REGIONE,35848
2024,2,Residenti,ESPATRI,1166
2024,2,Residenti,RIENTRI AIRE,6918
2024,2,Residenti,STESSA REGIONE,110960
2024,2,Residenti,STESSO COMUNE,164607
2024,3,AIRE,ESPATRI,15656
2024,3,AIRE,ESTERO CON ESTERO,29748
2024,3,AIRE,RIENTRI AIRE,1542
2024,3,Residenti,DIVERSA REGIONE,33465
2024,3,Residenti,ESPATRI,1103
2024,3,Residenti,RIENTRI AIRE,6701
2024,3,Residenti,STESSA REGIONE,107026
2024,3,Residenti,STESSO COMUNE,151344
2024,4,AIRE,ESPATRI,13655
2024,4,AIRE,ESTERO CON ESTERO,28660
2024,4,AIRE,RIENTRI AIRE,1736
2024,4,Residenti,DIVERSA REGIONE,31092
2024,4,Residenti,ESPATRI,991
2024,4,Residenti,RIENTRI AIRE,6393
2024,4,Residenti,STESSA REGIONE,101526
2024,4,Residenti,STESSO COMUNE,141394
2024,5,AIRE,ESPATRI,11897
2024,5,AIRE,ESTERO CON ESTERO,24853
2024,5,AIRE,RIENTRI AIRE,1755
2024,5,Residenti,DIVERSA REGIONE,31828
2024,5,Residenti,ESPATRI,796
2024,5,Residenti,RIENTRI AIRE,6896
2024,5,Residenti,STESSA REGIONE,108452
2024,5,Residenti,STESSO COMUNE,155900
2024,6,AIRE,ESPATRI,10427
2024,6,AIRE,ESTERO CON ESTERO,24969
2024,6,AIRE,RIENTRI AIRE,1683
2024,6,Residenti,DIVERSA REGIONE,30054
2024,6,Residenti,ESPATRI,797
2024,6,Residenti,RIENTRI AIRE,6190
2024,6,Residenti,STESSA REGIONE,103074
2024,6,Residenti,STESSO COMUNE,136259
2024,7,AIRE,ESPATRI,12571
2024,7,AIRE,ESTERO CON ESTERO,28728
2024,7,AIRE,RIENTRI AIRE,2249
2024,7,Residenti,DIVERSA REGIONE,37587
2024,7,Residenti,ESPATRI,951
2024,7,Residenti,RIENTRI AIRE,7571
2024,7,Residenti,STESSA REGIONE,119661
2024,7,Residenti,STESSO COMUNE,155605
2024,8,AIRE,ESPATRI,9350
2024,8,AIRE,ESTERO CON ESTERO,24909
2024,8,AIRE,RIENTRI AIRE,1923
2024,8,Residenti,DIVERSA REGIONE,31028
2024,8,Residenti,ESPATRI,699
2024,8,Residenti,RIENTRI AIRE,6520
2024,8,Residenti,STESSA REGIONE,95424
2024,8,Residenti,STESSO COMUNE,117455
2024,9,AIRE,ESPATRI,9849
2024,9,AIRE,ESTERO CON ESTERO,27136
2024,9,AIRE,RIENTRI AIRE,2230
2024,9,Residenti,DIVERSA REGIONE,40697
2024,9,Residenti,ESPATRI,792
2024,9,Residenti,RIENTRI AIRE,7993
2024,9,Residenti,STESSA REGIONE,108543
2024,9,Residenti,STESSO COMUNE,143409
2024,10,AIRE,ESPATRI,12100
2024,10,AIRE,ESTERO CON ESTERO,31648
2024,10,AIRE,RIENTRI AIRE,2155
2024,10,Residenti,DIVERSA REGIONE,42555
2024,10,Residenti,ESPATRI,877
2024,10,Residenti,RIENTRI AIRE,8433
2024,10,Residenti,STESSA REGIONE,124207
2024,10,Residenti,STESSO COMUNE,171801
2024,11,AIRE,ESPATRI,10433
2024,11,AIRE,ESTERO CON ESTERO,26775
2024,11,AIRE,RIENTRI AIRE,1611
2024,11,Residenti,DIVERSA REGIONE,33482
2024,11,Residenti,ESPATRI,845
2024,11,Residenti,RIENTRI AIRE,6698
2024,11,Residenti,STESSA REGIONE,105217
2024,11,Residenti,STESSO COMUNE,144710
2024,12,AIRE,ESPATRI,8688
2024,12,AIRE,ESTERO CON ESTERO,23266
2024,12,AIRE,RIENTRI AIRE,1681
2024,12,Residenti,DIVERSA REGIONE,29562
2024,12,Residenti,ESPATRI,711
2024,12,Residenti,RIENTRI AIRE,5656
2024,12,Residenti,STESSA REGIONE,104669
2024,12,Residenti,STESSO COMUNE,144417
2025,1,AIRE,ESPATRI,9539
2025,1,AIRE,ESTERO CON ESTERO,24349
2025,1,AIRE,RIENTRI AIRE,1956
2025,1,Residenti,DIVERSA REGIONE,38623
2025,1,Residenti,ESPATRI,699
2025,1,Residenti,RIENTRI AIRE,7077
2025,1,Residenti,STESSA REGIONE,124450
2025,1,Residenti,STESSO COMUNE,174622
2025,2,AIRE,ESPATRI,10595
2025,2,AIRE,ESTERO CON ESTERO,28605
2025,2,AIRE,RIENTRI AIRE,1598
2025,2,Residenti,DIVERSA REGIONE,33893
2025,2,Residenti,ESPATRI,741
2025,2,Residenti,RIENTRI AIRE,6525
2025,2,Residenti,STESSA REGIONE,109565
2025,2,Residenti,STESSO COMUNE,156952
2025,3,AIRE,ESPATRI,11062
2025,3,AIRE,ESTERO CON ESTERO,30991
2025,3,AIRE,RIENTRI AIRE,1678
2025,3,Residenti,DIVERSA REGIONE,34182
2025,3,Residenti,ESPATRI,801
2025,3,Residenti,RIENTRI AIRE,6855
2025,3,Residenti,STESSA REGIONE,112909
2025,3,Residenti,STESSO COMUNE,157132
2025,4,AIRE,ESPATRI,9261
2025,4,AIRE,ESTERO CON ESTERO,29796
2025,4,AIRE,RIENTRI AIRE,1780
2025,4,Residenti,DIVERSA REGIONE,30323
2025,4,Residenti,ESPATRI,699
2025,4,Residenti,RIENTRI AIRE,6404
2025,4,Residenti,STESSA REGIONE,105111
2025,4,Residenti,STESSO COMUNE,143592
2025,5,AIRE,ESPATRI,8437
2025,5,AIRE,ESTERO CON ESTERO,31014
2025,5,AIRE,RIENTRI AIRE,1727
2025,5,Residenti,DIVERSA REGIONE,31511
2025,5,Residenti,ESPATRI,631
2025,5,Residenti,RIENTRI AIRE,6617
2025,5,Residenti,STESSA REGIONE,111147
2025,5,Residenti,STESSO COMUNE,154514
2025,6,AIRE,ESPATRI,8193
2025,6,AIRE,ESTERO CON ESTERO,28924
2025,6,AIRE,RIENTRI AIRE,1843
2025,6,Residenti,DIVERSA REGIONE,31298
2025,6,Residenti,ESPATRI,608
2025,6,Residenti,RIENTRI AIRE,6236
2025,6,Residenti,STESSA REGIONE,108896
2025,6,Residenti,STESSO COMUNE,142399
2025,7,AIRE,ESPATRI,9233
2025,7,AIRE,ESTERO CON ESTERO,31615
2025,7,AIRE,RIENTRI AIRE,2493
2025,7,Residenti,DIVERSA REGIONE,38608
2025,7,Residenti,ESPATRI,664
2025,7,Residenti,RIENTRI AIRE,8102
2025,7,Residenti,STESSA REGIONE,126924
2025,7,Residenti,STESSO COMUNE,162422
2025,8,AIRE,ESPATRI,7187
2025,8,AIRE,ESTERO CON ESTERO,24991
2025,8,AIRE,RIENTRI AIRE,2042
2025,8,Residenti,DIVERSA REGIONE,30717
2025,8,Residenti,ESPATRI,511
2025,8,Residenti,RIENTRI AIRE,6561
2025,8,Residenti,STESSA REGIONE,96874
2025,8,Residenti,STESSO COMUNE,120992
2025,9,AIRE,ESPATRI,8571
2025,9,AIRE,ESTERO CON ESTERO,28999
2025,9,AIRE,RIENTRI AIRE,2439
2025,9,Residenti,DIVERSA REGIONE,41539
2025,9,Residenti,ESPATRI,598
2025,9,Residenti,RIENTRI AIRE,8430
2025,9,Residenti,STESSA REGIONE,114419
2025,9,Residenti,STESSO COMUNE,148781
2025,10,AIRE,ESPATRI,9502
2025,10,AIRE,ESTERO CON ESTERO,32983
2025,10,AIRE,RIENTRI AIRE,2185
2025,10,Residenti,DIVERSA REGIONE,42033
2025,10,Residenti,ESPATRI,707
2025,10,Residenti,RIENTRI AIRE,8527
2025,10,Residenti,STESSA REGIONE,127464
2025,10,Residenti,STESSO COMUNE,172644
2025,11,AIRE,ESPATRI,4629
2025,11,AIRE,ESTERO CON ESTERO,15409
2025,11,AIRE,RIENTRI AIRE,1054
2025,11,Residenti,DIVERSA REGIONE,19536
2025,11,Residenti,ESPATRI,365
2025,11,Residenti,RIENTRI AIRE,3871
2025,11,Residenti,STESSA REGIONE,62908
2025,11,Residenti,STESSO COMUNE,85211
