MESE,ANNO,TIPO_SOGGETTO,STATO_DI_LAVORAZIONE,TOTALE
5,2024,Residenti,IN LAVORAZIONE,22034
5,2024,AIRE,IRRICEVIBILE,89
5,2024,Residenti,IRRICEVIBILE,4348
6,2024,AIRE,ACCOLTA,11
6,2024,Residenti,ACCOLTA,20422
6,2024,AIRE,ANNULLATA,7
6,2024,Residenti,ANNULLATA,733
6,2024,AIRE,IN LAVORAZIONE,46
6,2024,Residenti,IN LAVORAZIONE,24384
6,2024,AIRE,IRRICEVIBILE,67
6,2024,Residenti,IRRICEVIBILE,3717
7,2024,AIRE,ACCOLTA,9
7,2024,Residenti,ACCOLTA,25052
7,2024,AIRE,ANNULLATA,15
7,2024,Residenti,ANNULLATA,868
7,2024,AIRE,IN LAVORAZIONE,54
7,2024,Residenti,IN LAVORAZIONE,25669
7,2024,AIRE,IRRICEVIBILE,80
7,2024,Residenti,IRRICEVIBILE,4200
8,2024,AIRE,ACCOLTA,14
8,2024,Residenti,ACCOLTA,20869
8,2024,AIRE,ANNULLATA,12
8,2024,Residenti,ANNULLATA,751
8,2024,AIRE,IN LAVORAZIONE,40
8,2024,Residenti,IN LAVORAZIONE,20229
8,2024,AIRE,IRRICEVIBILE,57
8,2024,Residenti,IRRICEVIBILE,3164
9,2024,AIRE,ACCOLTA,12
9,2024,Residenti,ACCOLTA,24539
9,2024,AIRE,ANNULLATA,14
9,2024,Residenti,ANNULLATA,980
9,2024,AIRE,IN LAVORAZIONE,67
9,2024,Residenti,IN LAVORAZIONE,26858
9,2024,AIRE,IRRICEVIBILE,51
9,2024,Residenti,IRRICEVIBILE,4143
10,2024,AIRE,ACCOLTA,17
10,2024,Residenti,ACCOLTA,31222
10,2024,AIRE,ANNULLATA,15
10,2024,Residenti,ANNULLATA,1001
10,2024,AIRE,IN LAVORAZIONE,65
10,2024,Residenti,IN LAVORAZIONE,28185
10,2024,AIRE,IRRICEVIBILE,87
10,2024,Residenti,IRRICEVIBILE,5131
11,2024,AIRE,ACCOLTA,21
11,2024,Residenti,ACCOLTA,27938
11,2024,AIRE,ANNULLATA,11
11,2024,Residenti,ANNULLATA,921
11,2024,AIRE,IN LAVORAZIONE,68
11,2024,Residenti,IN LAVORAZIONE,27051
11,2024,AIRE,IRRICEVIBILE,56
11,2024,Residenti,IRRICEVIBILE,4148
12,2024,AIRE,ACCOLTA,25
12,2024,Residenti,ACCOLTA,25742
12,2024,AIRE,ANNULLATA,18
12,2024,Residenti,ANNULLATA,916
12,2024,AIRE,IN LAVORAZIONE,57
12,2024,Residenti,IN LAVORAZIONE,28889
12,2024,AIRE,IRRICEVIBILE,60
12,2024,Residenti,IRRICEVIBILE,3863
1,2025,AIRE,ACCOLTA,13
1,2025,Residenti,ACCOLTA,30787
1,2025,AIRE,ANNULLATA,11
1,2025,Residenti,ANNULLATA,1133
1,2025,AIRE,IN LAVORAZIONE,75
1,2025,Residenti,IN LAVORAZIONE,33904
1,2025,AIRE,IRRICEVIBILE,83
1,2025,Residenti,IRRICEVIBILE,5550
2,2025,AIRE,ACCOLTA,25
2,2025,Residenti,ACCOLTA,32877
2,2025,AIRE,ANNULLATA,13
2,2025,Residenti,ANNULLATA,1256
2,2025,AIRE,IN LAVORAZIONE,53
2,2025,Residenti,IN LAVORAZIONE,29435
2,2025,AIRE,IRRICEVIBILE,69
2,2025,Residenti,IRRICEVIBILE,5305
3,2025,AIRE,ACCOLTA,25
3,2025,Residenti,ACCOLTA,34337
3,2025,AIRE,ANNULLATA,16
3,2025,Residenti,ANNULLATA,1297
3,2025,AIRE,IN LAVORAZIONE,55
3,2025,Residenti,IN LAVORAZIONE,31189
3,2025,AIRE,IRRICEVIBILE,82
3,2025,Residenti,IRRICEVIBILE,5230
4,2025,AIRE,ACCOLTA,14
4,2025,Residenti,ACCOLTA,30280
4,2025,AIRE,ANNULLATA,14
4,2025,Residenti,ANNULLATA,1289
4,2025,AIRE,IN LAVORAZIONE,53
4,2025,Residenti,IN LAVORAZIONE,29612
4,2025,AIRE,IRRICEVIBILE,89
4,2025,Residenti,IRRICEVIBILE,4859
